repo,tool,gt_imp_july,gt_imp_now,gt_impT_july,gt_impT_now,gt_all_july_adj,gt_all_now,imp_tp_july,imp_tp_now,imp_fp_july,imp_fp_now,imp_fn_july,imp_fn_now,impT_tp_july,impT_tp_now,impT_fp_july,impT_fp_now,impT_fn_july,impT_fn_now,all_tp_july,all_tp_now,all_fp_july,all_fp_now,all_fn_july,all_fn_now,match
2ykwang__mac-cleanup-go,cdxgen,25,25,25,25,35,35,25,25,0,0,0,0,25,25,0,0,0,0,25,25,0,0,10,10,yes
2ykwang__mac-cleanup-go,cyclonedx-gomod,25,25,25,25,35,35,25,25,0,0,0,0,25,25,0,0,0,0,25,25,0,0,10,10,yes
32leaves__bel,syft,1,1,3,3,9,9,1,1,7,7,0,0,3,3,5,5,0,0,8,8,0,0,1,1,yes
32leaves__bel,trivy,1,1,3,3,9,9,1,1,8,8,0,0,3,3,6,6,0,0,9,9,0,0,0,0,yes
32leaves__bel,cdxgen,1,1,3,3,9,9,1,1,0,0,0,0,1,1,0,0,2,2,1,1,0,0,8,8,yes
32leaves__bel,cyclonedx-gomod,1,1,3,3,9,9,1,1,0,0,0,0,1,1,0,0,2,2,1,1,0,0,8,8,yes
42Atomys__webhooked,syft,26,26,29,29,181,181,26,26,22,22,0,0,29,29,19,19,0,0,48,48,0,0,133,133,yes
42Atomys__webhooked,trivy,26,26,29,29,181,181,26,26,5,5,0,0,29,29,2,2,0,0,31,31,0,0,150,150,yes
42Atomys__webhooked,cdxgen,26,26,29,29,181,181,26,26,0,0,0,0,26,26,0,0,3,3,26,26,0,0,155,155,yes
42Atomys__webhooked,cyclonedx-gomod,26,26,29,29,181,181,26,26,1,1,0,0,26,26,1,1,3,3,27,27,0,0,154,154,yes
99designs__gqlgen,syft,18,18,23,23,38,38,18,18,57,57,0,0,23,23,52,52,0,0,31,31,44,44,7,7,yes
99designs__gqlgen,trivy,18,18,23,23,38,38,18,18,38,38,0,0,23,23,33,33,0,0,25,25,31,31,13,13,yes
99designs__gqlgen,cdxgen,18,18,23,23,38,38,18,18,20,20,0,0,18,18,20,20,5,5,18,18,20,20,20,20,yes
99designs__gqlgen,cyclonedx-gomod,18,18,23,23,38,38,18,18,1,1,0,0,18,18,1,1,5,5,19,19,0,0,19,19,yes
Ad3bay0c__routex,syft,33,33,39,39,89,89,33,33,21,21,0,0,39,39,15,15,0,0,54,54,0,0,35,35,yes
Ad3bay0c__routex,trivy,33,33,39,39,89,89,33,33,6,6,0,0,39,39,0,0,0,0,39,39,0,0,50,50,yes
Ad3bay0c__routex,cdxgen,33,33,39,39,89,89,33,33,0,0,0,0,33,33,0,0,6,6,33,33,0,0,56,56,yes
Ad3bay0c__routex,cyclonedx-gomod,33,33,39,39,89,89,33,33,0,0,0,0,33,33,0,0,6,6,33,33,0,0,56,56,yes
